kind,alpha,frequency_MHz,area_m2,dipoles_per_tile,before_n,after_n,before_rate_as_printed,after_rate_per_year,ratio_after_removing_normalization
dish,-1.0,400.0,12.9,,1040,1039,125.47806848170609,60709.95663204632,0.9990384615384614
dish,-1.0,400.0,13.0,,1036,1035,124.99546052600721,60476.23206368426,0.9990347490347492
dish,-1.0,400.0,13.1,,1032,1032,124.51285257030835,60300.938637412706,0.9999999999999999
dish,-1.0,400.0,13.200000000000001,,1029,1028,124.15089660353422,60067.21406905064,0.9990281827016518
dish,-1.0,400.0,13.3,,1025,1025,123.66828864783534,59891.9206427791,0.9999999999999999
dish,-1.0,400.0,13.4,,1022,1021,123.30633268106119,59658.19607441702,0.9990215264187864
dish,-1.0,400.0,13.5,,1019,1018,122.944376714287,59482.902648145486,0.9990186457311091
dish,-1.0,400.0,13.6,,1015,1014,122.46176875858815,59249.17807978342,0.9990147783251233
dish,-1.0,400.0,13.700000000000001,,1012,1011,122.09981279181402,59073.884653511865,0.9990118577075097
dish,-1.0,400.0,13.8,,1008,1007,121.61720483611514,58840.1600851498,0.9990079365079364
dish,-1.0,400.0,13.9,,1005,1004,121.25524886934099,58664.86665887826,0.999004975124378
dish,-1.0,400.0,14.0,,1002,1001,120.89329290256684,58489.57323260671,0.9990019960079839
dish,-1.0,400.0,14.1,,998,997,120.41068494686797,58255.848664244644,0.9989979959919838
dish,-1.0,400.0,14.200000000000001,,995,994,120.04872898009381,58080.555237973094,0.9989949748743717
dish,-1.0,400.0,14.3,,991,991,119.56612102439493,57905.261811701545,1.0
dish,-1.0,400.0,14.4,,988,987,119.20416505762078,57671.53724333948,0.9989878542510121
dish,-1.0,400.0,14.5,,985,984,118.84220909084664,57496.24381706792,0.9989847715736039
dish,-1.0,400.0,14.6,,982,981,118.48025312407248,57320.95039079639,0.9989816700610998
dish,-1.0,400.0,14.700000000000001,,978,977,117.99764516837361,57087.22582243432,0.9989775051124744
dish,-1.0,400.0,14.8,,975,974,117.63568920159946,56911.93239616277,0.9989743589743588
dish,-1.0,400.0,14.9,,972,971,117.2737332348253,56736.638969891224,0.9989711934156379
dish,-1.0,400.0,15.0,,969,968,116.91177726805117,56561.34554361967,0.9989680082559337
dish,-1.0,400.0,15.1,,965,965,116.42916931235229,56386.05211734813,1.0000000000000002
dish,-1.0,400.0,15.200000000000001,,962,961,116.06721334557814,56152.32754898605,0.9989604989604988
dish,-1.0,400.0,15.3,,959,958,115.70525737880398,55977.03412271451,0.9989572471324296
dish,-1.0,400.0,15.4,,956,955,115.34330141202983,55801.74069644296,0.9989539748953974
dish,-1.0,400.0,15.5,,953,952,114.98134544525567,55626.44727017141,0.9989506820566632
dish,-1.0,400.0,15.6,,950,949,114.61938947848154,55451.15384389986,0.9989473684210524
dish,-1.0,400.0,15.700000000000001,,947,946,114.25743351170738,55275.86041762832,0.9989440337909187
dish,-1.0,400.0,15.8,,943,943,113.77482555600851,55100.56699135676,0.9999999999999998
dish,-1.0,400.0,15.9,,940,940,113.41286958923436,54925.27356508523,1.0
dish,-1.0,400.0,16.0,,937,936,113.0509136224602,54691.548996723155,0.9989327641408751
dish,-1.0,400.0,16.1,,934,933,112.68895765568607,54516.255570451605,0.9989293361884366
dish,-1.0,400.0,16.200000000000003,,931,930,112.3270016889119,54340.96214418006,0.9989258861439312
dish,-1.0,400.0,16.3,,928,927,111.96504572213775,54165.668717908506,0.9989224137931032
dish,-1.0,400.0,16.400000000000002,,925,924,111.6030897553636,53990.37529163696,0.9989189189189188
dish,-1.0,400.0,16.500000000000004,,922,921,111.24113378858944,53815.08186536541,0.9989154013015185
dish,-1.0,400.0,16.6,,919,918,110.8791778218153,53639.788439093856,0.9989118607181715
dish,-1.0,400.0,16.700000000000003,,916,915,110.51722185504113,53464.49501282231,0.9989082969432315
dish,-1.0,400.0,16.8,,913,912,110.15526588826698,53289.201586550764,0.9989047097480831
dish,-1.0,400.0,16.900000000000002,,910,910,109.79330992149282,53172.33930236973,0.9999999999999999
dish,-1.0,400.0,17.000000000000004,,908,907,109.5520059436434,52997.045876098186,0.9988986784140969
dish,-1.0,400.0,17.1,,905,904,109.19004997686923,52821.752449826636,0.9988950276243095
dish,-1.0,400.0,17.200000000000003,,902,901,108.8280940100951,52646.459023555086,0.9988913525498889
dish,-1.0,400.0,17.3,,899,898,108.46613804332094,52471.16559728354,0.9988876529477196
dish,-1.0,400.0,17.400000000000002,,896,895,108.1041820765468,52295.87217101199,0.9988839285714284
dish,-1.0,400.0,17.500000000000004,,893,892,107.74222610977264,52120.578744740444,0.9988801791713324
dish,-1.0,400.0,17.6,,890,889,107.3802701429985,51945.285318468894,0.9988764044943819
dish,-1.0,400.0,17.700000000000003,,887,887,107.01831417622432,51828.42303428786,1.0
dish,-1.0,400.0,17.8,,885,884,106.7770101983749,51653.12960801631,0.998870056497175
dish,-1.0,400.0,17.900000000000002,,882,881,106.41505423160073,51477.836181744766,0.9988662131519275
dish,-1.0,400.0,18.000000000000004,,879,878,106.05309826482659,51302.542755473216,0.9988623435722412
dish,-1.0,400.0,18.1,,876,875,105.69114229805244,51127.249329201666,0.9988584474885844
dish,-1.0,400.0,18.200000000000003,,874,873,105.44983832020301,51010.38704502064,0.9988558352402744
dish,-1.0,400.0,18.3,,871,870,105.08788235342885,50835.09361874909,0.9988518943742825
dish,-1.0,400.0,18.400000000000002,,868,867,104.7259263866547,50659.80019247754,0.998847926267281
dish,-1.0,400.0,18.500000000000004,,865,864,104.36397041988054,50484.50676620599,0.9988439306358381
dish,-1.0,400.0,18.6,,863,862,104.12266644203112,50367.64448202496,0.9988412514484357
dish,-1.0,400.0,18.700000000000003,,860,859,103.76071047525696,50192.35105575341,0.9988372093023256
dish,-1.0,400.0,18.8,,857,856,103.39875450848281,50017.05762948185,0.9988331388564758
dish,-1.0,400.0,18.900000000000002,,855,854,103.15745053063338,49900.195345300825,0.998830409356725
dish,-1.0,400.0,19.000000000000004,,852,851,102.79549456385922,49724.901919029275,0.998826291079812
dish,-1.0,400.0,19.1,,849,848,102.43353859708508,49549.608492757725,0.9988221436984686
dish,-1.0,400.0,19.200000000000003,,847,846,102.19223461923563,49432.7462085767,0.9988193624557261
