kind,alpha,frequency_MHz,before_area_m2,before_n,before_rate_as_printed,after_area_m2,after_n,after_rate_per_year,normalization_factor,optimum_ratio_after_removing_normalization
dish,-1.0,400.0,0.1,1594,192.31927034599954,0.1,1593,93080.8093501923,484.2948931987783,0.9993726474278545
dish,-1.0,800.0,0.1,836,35.66118492450637,0.1,835,17249.871215953357,484.2948931987783,0.9988038277511962
dish,-1.0,1600.0,0.1,439,6.620777892243868,0.1,438,3199.1050294557613,484.2948931987783,0.9977220956719816
aperture,-1.0,400.0,0.17880166165675554,1562,188.4584067004086,0.17880166165675554,1519,88756.9048354941,484.2948931987783,0.9724711907810498
aperture,-1.0,800.0,0.044700415414188885,827,35.277272646610975,0.044700415414188885,814,16816.042119504233,484.2948931987783,0.9842805320435308
aperture,-1.0,1600.0,0.011175103853547221,436,6.575533396397097,0.011175103853547221,432,3155.2816728878743,484.2948931987783,0.9908256880733946
dish,-1.5,400.0,9.2,1183,593.3248234599379,9.39818048136301,1174,330609.4368700499,557.6602922033295,0.999201334054164
dish,-1.5,800.0,15.700000000000001,617,122.7471919659857,15.786658548596533,615,68306.4157188939,557.6602922033295,0.9978843446706964
dish,-1.5,1600.0,26.900000000000002,322,25.468680567604764,26.439394469074973,323,14146.394224136156,557.6602922033295,0.996023506806614
aperture,-1.5,400.0,1.6092149549108,1191,250.66642101454806,1.6092149549108,1096,123399.69072510378,557.6602922033295,0.8827712669418477
aperture,-1.5,800.0,0.7152066466270222,613,25.94421150528395,0.7152066466270222,587,13557.407133173372,557.6602922033295,0.9370579295495637
aperture,-1.5,1600.0,0.27937759633868053,329,2.6806254352221095,0.4023037387277,292,1499.9180531301722,557.6602922033295,1.003371304153975
dish,-2.0,400.0,15.0,969,2698.0332885562416,15.133055752433204,964,1729891.022625719,642.1397497013445,0.9984857857790449
dish,-2.0,800.0,25.300000000000004,507,622.8951290269908,25.4222516402827,505,398753.78533712216,642.1397497013445,0.9969200477968406
dish,-2.0,1600.0,29.900000000000002,310,137.60780747735387,42.67616691555217,265,92162.7036618388,642.1397497013445,1.0429958417216774
aperture,-2.0,400.0,2.8608265865080886,937,481.1485767858055,2.8608265865080886,879,271898.8234347115,642.1397497013445,0.8800322107044778
aperture,-2.0,800.0,1.1175103853547221,510,27.840075900224875,1.6092149549108,426,17961.446435615773,642.1397497013445,1.004711418685121
aperture,-2.0,1600.0,0.5475800888238138,247,1.599889741238834,0.7152066466270222,231,1173.6363587115202,642.1397497013445,1.142388827877854
